wrkstat,partyid,polviews,happy,rincome,born,race,sex,degree,age,marital,hrs1,pres12
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,41,Married,40,Obama
Retired,Strong republican,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,Graduate,88,Widowed,Not applicable,Romney
Retired,Not str democrat,Slghtly conservative,Pretty happy,Not applicable,No,White,Female,High school,83,Divorced,Not applicable,Obama
Working fulltime,Strong democrat,Extremely liberal,Pretty happy,$25000 or more,Yes,White,Female,Graduate,62,Never married,40,Obama
"Unempl, laid off","Ind,near dem",Slghtly conservative,Not too happy,$25000 or more,Yes,White,Male,High school,52,Divorced,Not applicable,Not applicable
Working fulltime,Other party,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,59,Divorced,43,Obama
School,Not str democrat,Extremely liberal,Very happy,Not applicable,No,White,Male,Bachelor,23,Never married,Not applicable,Not applicable
School,Not str democrat,Slightly liberal,Pretty happy,Not applicable,Yes,White,Male,High school,22,Never married,Not applicable,Not applicable
School,Independent,Moderate,Pretty happy,$20000 - 24999,Yes,White,Male,Junior college,28,Never married,Not applicable,No answer
Working fulltime,"Ind,near rep",Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,Graduate,52,Divorced,40,Romney
Working fulltime,Strong democrat,Liberal,Pretty happy,$4000 to 4999,Yes,White,Female,Bachelor,54,Married,40,Obama
Retired,Strong democrat,Liberal,Pretty happy,Not applicable,Yes,White,Male,Graduate,86,Married,Not applicable,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Male,Graduate,42,Married,60,Not applicable
Retired,Independent,Conservative,Very happy,Not applicable,Yes,White,Male,High school,81,Married,Not applicable,Romney
Working fulltime,Not str republican,Don't know,Very happy,Not applicable,Yes,White,Male,High school,21,Never married,54,Not applicable
Working fulltime,"Ind,near dem",Moderate,Not too happy,$15000 - 19999,Yes,White,Female,High school,41,Never married,40,Not applicable
Working parttime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,Graduate,57,Married,30,Obama
Working fulltime,"Ind,near dem",Liberal,Pretty happy,Not applicable,Yes,White,Male,High school,23,Never married,40,Not applicable
Other,"Ind,near dem",Moderate,Very happy,Not applicable,Yes,White,Female,High school,50,Never married,Not applicable,Obama
Working fulltime,"Ind,near rep",Conservative,Pretty happy,$25000 or more,Yes,White,Male,Graduate,46,Married,36,Romney
Temp not working,"Ind,near dem",Liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,39,Divorced,Not applicable,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,57,Divorced,72,Not applicable
Working parttime,Not str republican,Moderate,Pretty happy,$25000 or more,Yes,White,Female,High school,66,Married,22,Romney
Working parttime,Strong democrat,Moderate,Not too happy,Not applicable,Yes,White,Female,High school,45,Never married,30,Obama
Working fulltime,Strong republican,Extrmly conservative,Very happy,$25000 or more,Yes,White,Male,High school,42,Married,40,Romney
Working fulltime,Strong republican,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,60,Married,60,Romney
Working fulltime,Strong republican,Extrmly conservative,Very happy,$25000 or more,Yes,White,Male,High school,33,Married,70,Not applicable
Keeping house,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,36,Married,Not applicable,Not applicable
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,84,Widowed,Not applicable,Romney
Retired,Strong democrat,Conservative,Very happy,Not applicable,Yes,White,Female,Junior college,63,Married,Not applicable,Not applicable
Working fulltime,Strong democrat,Liberal,Pretty happy,Not applicable,Yes,White,Female,Junior college,60,Divorced,40,Obama
School,No answer,No answer,Very happy,$1000 to 2999,Yes,Black,Male,Bachelor,22,Never married,Not applicable,Not applicable
Retired,Not str democrat,Conservative,Pretty happy,Not applicable,Yes,White,Female,Graduate,68,Married,Not applicable,Obama
Retired,Not str republican,Moderate,Very happy,Not applicable,Yes,White,Male,Graduate,69,Married,Not applicable,Obama
Working fulltime,"Ind,near rep",Conservative,Pretty happy,Refused,Yes,White,Male,Bachelor,53,Divorced,36,Romney
Retired,Strong republican,Conservative,Very happy,Not applicable,Yes,White,Male,High school,81,Widowed,Not applicable,Romney
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$20000 - 24999,Yes,White,Female,High school,35,Never married,40,Not applicable
Working parttime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,60,Married,10,Obama
Working parttime,"Ind,near rep",Moderate,Pretty happy,$8000 to 9999,Yes,White,Female,High school,65,Married,25,No answer
Retired,Not str republican,Don't know,Pretty happy,Not applicable,Yes,White,Female,High school,67,Married,Not applicable,Romney
Retired,Strong democrat,Liberal,Pretty happy,Not applicable,Yes,White,Male,Graduate,64,Never married,Not applicable,Obama
Retired,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,70,Divorced,Not applicable,Obama
Working fulltime,Strong democrat,Liberal,Pretty happy,$25000 or more,Yes,White,Male,Junior college,30,Married,41,Obama
"Unempl, laid off",Strong democrat,Slightly liberal,Not too happy,Not applicable,Yes,White,Female,Bachelor,31,Divorced,Not applicable,Obama
Working fulltime,Strong republican,Conservative,Very happy,$25000 or more,Yes,White,Male,High school,35,Married,40,Romney
Working parttime,"Ind,near dem",Extrmly conservative,Very happy,$25000 or more,Yes,Black,Female,High school,72,Divorced,25,Obama
Other,"Ind,near dem",Moderate,Not too happy,Not applicable,Yes,White,Female,High school,56,Divorced,Not applicable,Obama
Working parttime,Not str republican,Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,Graduate,68,Never married,6,Obama
Working parttime,"Ind,near rep",Liberal,Very happy,$10000 - 14999,Yes,White,Female,High school,61,Married,No answer,Obama
Keeping house,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,48,Married,Not applicable,Obama
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$8000 to 9999,Yes,White,Female,High school,53,Separated,14,5
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,32,Married,40,Not applicable
Working parttime,"Ind,near rep",Slightly liberal,Pretty happy,$10000 - 14999,No,Other,Male,High school,33,Never married,31,Not applicable
Working parttime,Independent,Moderate,Not too happy,$1000 to 2999,Yes,White,Female,Lt high school,29,Never married,19,Not applicable
Other,Strong republican,Moderate,Not too happy,Not applicable,Yes,White,Male,High school,52,Married,Not applicable,Romney
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,57,Divorced,50,Romney
Keeping house,Independent,No answer,Pretty happy,Not applicable,Yes,White,Female,High school,50,Divorced,Not applicable,No answer
Working parttime,Strong republican,Extrmly conservative,Very happy,Not applicable,Yes,White,Female,High school,31,Married,No answer,Romney
Working fulltime,Independent,Moderate,Very happy,$25000 or more,Yes,White,Female,High school,53,Divorced,63,Obama
Working fulltime,Strong republican,Slghtly conservative,Not too happy,$25000 or more,Yes,White,Male,Bachelor,37,Never married,60,Romney
Keeping house,Strong democrat,Moderate,Very happy,Not applicable,Yes,White,Female,Bachelor,76,Married,Not applicable,Obama
Keeping house,"Ind,near rep",Conservative,Not too happy,Not applicable,Yes,White,Female,Bachelor,53,Married,Not applicable,Romney
Working fulltime,Independent,Moderate,Very happy,Refused,Yes,White,Female,High school,No answer,Divorced,60,Not applicable
Working parttime,Not str democrat,Moderate,Very happy,$20000 - 24999,Yes,White,Female,High school,21,Never married,32,Not applicable
Retired,Strong republican,Extrmly conservative,Not too happy,Not applicable,Yes,White,Female,Bachelor,65,Married,Not applicable,Romney
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,53,Married,50,Romney
Working fulltime,Strong democrat,Slghtly conservative,Pretty happy,Refused,Yes,Black,Female,High school,53,Married,60,Obama
Working fulltime,Strong republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,Bachelor,47,Married,45,Romney
Retired,Not str republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,Bachelor,59,Widowed,Not applicable,Romney
Keeping house,Strong republican,Moderate,Very happy,Not applicable,Yes,White,Female,High school,78,Widowed,Not applicable,Obama
Working fulltime,Strong republican,Moderate,Very happy,$25000 or more,Yes,White,Female,High school,No answer,Married,42,No answer
Working fulltime,Strong republican,Slghtly conservative,Very happy,$25000 or more,Yes,White,Male,High school,49,Married,44,Romney
Working fulltime,Not str republican,Conservative,Very happy,$25000 or more,Yes,White,Male,Bachelor,65,Married,45,Romney
Working fulltime,Independent,Moderate,Pretty happy,$20000 - 24999,No,White,Male,Lt high school,41,Married,42,Not applicable
Working parttime,Not str republican,Conservative,Very happy,$25000 or more,Yes,White,Male,Bachelor,64,Married,5,Romney
Working fulltime,Independent,Don't know,Pretty happy,$25000 or more,Yes,White,Female,High school,61,Married,40,Not applicable
Working fulltime,Strong democrat,Conservative,Very happy,$25000 or more,Yes,White,Female,Bachelor,32,Married,40,Obama
Retired,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Female,High school,65,Divorced,Not applicable,Obama
Retired,Not str democrat,Slightly liberal,Not too happy,Not applicable,Yes,White,Female,High school,78,Widowed,Not applicable,Obama
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,48,Married,42,Not applicable
Working fulltime,Strong democrat,Slghtly conservative,Pretty happy,$25000 or more,No,Other,Male,Junior college,45,Married,45,Not applicable
Working fulltime,Strong democrat,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,58,Married,53,Obama
Other,No answer,No answer,Not too happy,Not applicable,No answer,White,Female,No answer,89 or older,Widowed,Not applicable,No answer
Working parttime,Strong republican,Conservative,Pretty happy,$5000 to 5999,Yes,White,Female,High school,55,Divorced,28,Romney
Retired,"Ind,near rep",Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,High school,46,Never married,Not applicable,Other candidate (specify)
Working fulltime,"Ind,near rep",Slghtly conservative,Not too happy,$25000 or more,Yes,White,Male,High school,41,Divorced,40,Not applicable
Working parttime,Strong republican,Extrmly conservative,Very happy,Not applicable,Yes,White,Male,High school,80,Married,12,Romney
Retired,Independent,Liberal,Very happy,Not applicable,Yes,White,Female,High school,83,Married,Not applicable,Obama
Retired,Independent,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,High school,85,Widowed,Not applicable,Romney
Working fulltime,Independent,Extremely liberal,Pretty happy,Not applicable,No,White,Male,High school,22,Never married,50,Not applicable
Temp not working,Strong republican,Conservative,Very happy,$25000 or more,Yes,White,Female,Bachelor,38,Married,Not applicable,Romney
Working fulltime,Not str democrat,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,42,Never married,70,Obama
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,74,Married,Not applicable,Romney
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$15000 - 19999,Yes,White,Female,High school,29,Never married,40,Not applicable
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,37,Never married,40,Romney
Working fulltime,Strong democrat,Liberal,Not too happy,$20000 - 24999,Yes,White,Female,High school,61,Never married,40,Obama
Working fulltime,"Ind,near rep",Moderate,Very happy,$25000 or more,Yes,White,Male,Junior college,71,Widowed,40,Not applicable
Working fulltime,"Ind,near dem",Moderate,Pretty happy,Not applicable,Yes,White,Female,Lt high school,35,Divorced,52,Not applicable
Working fulltime,Independent,Moderate,Very happy,$20000 - 24999,Yes,Black,Male,High school,21,Never married,42,Not applicable
Working fulltime,Strong democrat,Moderate,Very happy,$25000 or more,Yes,White,Female,Junior college,63,Married,45,Obama
Retired,"Ind,near dem",Moderate,Very happy,Not applicable,Yes,White,Male,High school,67,Divorced,Not applicable,Obama
Working fulltime,Independent,Conservative,Pretty happy,Not applicable,Yes,White,Female,Lt high school,27,Never married,25,Not applicable
Keeping house,Independent,Conservative,Pretty happy,Not applicable,Yes,White,Male,Lt high school,75,Widowed,Not applicable,Obama
Working fulltime,Independent,Don't know,Not too happy,$25000 or more,Yes,White,Male,High school,33,Never married,40,Not applicable
Working parttime,Strong republican,Conservative,Not too happy,$3000 to 3999,Yes,White,Female,Junior college,47,Married,35,Romney
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$20000 - 24999,Yes,White,Male,High school,26,Never married,40,Obama
Working fulltime,Independent,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,36,Married,40,Not applicable
Working parttime,Not str republican,Slightly liberal,Very happy,$10000 - 14999,Yes,White,Male,High school,64,Married,28,Not applicable
Working fulltime,Strong republican,Slghtly conservative,Very happy,$25000 or more,Yes,White,Male,High school,81,Married,40,Romney
Retired,"Ind,near dem",Slightly liberal,Very happy,Not applicable,Yes,White,Female,Bachelor,76,Married,Not applicable,Obama
Keeping house,Other party,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,High school,23,Never married,Not applicable,Not applicable
Working parttime,"Ind,near dem",Moderate,Pretty happy,Lt $1000,Yes,White,Male,Lt high school,71,Divorced,4,Not applicable
Working fulltime,Strong republican,Conservative,Not too happy,Not applicable,No,Black,Male,High school,30,Married,45,Not applicable
Working fulltime,"Ind,near dem",Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,Junior college,48,Married,40,Not applicable
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$20000 - 24999,Yes,White,Female,High school,39,Never married,30,Not applicable
Retired,Independent,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,71,Never married,Not applicable,Obama
Working fulltime,Independent,Don't know,Pretty happy,$10000 - 14999,Yes,White,Male,High school,25,Never married,56,Not applicable
Working fulltime,Not str republican,Moderate,Very happy,Not applicable,Yes,White,Male,High school,23,Never married,45,Not applicable
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Female,High school,53,Married,40,Obama
Retired,Independent,Moderate,Pretty happy,$1000 to 2999,Yes,Other,Female,High school,63,Divorced,Not applicable,Not applicable
"Unempl, laid off","Ind,near dem",Liberal,Very happy,Not applicable,Yes,White,Female,Bachelor,23,Never married,Not applicable,Obama
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,60,Divorced,70,Romney
Keeping house,Not str republican,Moderate,Very happy,Lt $1000,Yes,White,Female,High school,78,Widowed,Not applicable,Romney
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Male,High school,32,Never married,29,Obama
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Female,High school,49,Married,56,Don't know
Working parttime,"Ind,near rep",Moderate,Pretty happy,$25000 or more,Yes,White,Female,Graduate,62,Married,20,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$25000 or more,Yes,White,Female,Graduate,31,Married,45,Obama
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,Refused,Yes,White,Male,Bachelor,69,Married,8,Romney
Working fulltime,Strong republican,Conservative,Pretty happy,Refused,Yes,White,Male,Graduate,67,Married,50,Romney
Working fulltime,Strong democrat,Liberal,Very happy,$25000 or more,Yes,White,Female,Bachelor,24,Never married,46,Obama
Working fulltime,Strong democrat,Extremely liberal,Very happy,$25000 or more,Yes,White,Male,Graduate,29,Married,45,Obama
Working fulltime,"Ind,near dem",Extremely liberal,Very happy,Not applicable,No,Black,Female,High school,30,Married,40,Not applicable
Retired,Strong democrat,Liberal,Very happy,Not applicable,Yes,White,Female,Lt high school,77,Widowed,Not applicable,Obama
Working fulltime,"Ind,near dem",Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,25,Never married,50,Obama
Working fulltime,"Ind,near dem",Extremely liberal,Not too happy,$10000 - 14999,Yes,White,Male,Graduate,50,Divorced,42,Not applicable
Retired,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,78,Married,Not applicable,Romney
Working fulltime,"Ind,near dem",Liberal,Not too happy,$25000 or more,Yes,White,Male,High school,33,Married,40,Obama
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,White,Male,High school,67,Married,40,Obama
Retired,Independent,Moderate,Very happy,Refused,Yes,White,Female,High school,67,Married,Not applicable,No answer
Working parttime,Strong republican,Extrmly conservative,Very happy,$5000 to 5999,Yes,White,Female,Bachelor,30,Married,15,Not applicable
Retired,"Ind,near dem",Slightly liberal,Pretty happy,Not applicable,Yes,White,Female,High school,65,Married,Not applicable,Obama
Keeping house,Not str republican,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,67,Widowed,Not applicable,Obama
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,45,Married,40,Romney
"Unempl, laid off",Not str democrat,Conservative,Pretty happy,Not applicable,Yes,White,Male,High school,34,Divorced,Not applicable,Not applicable
Working fulltime,Not str democrat,Liberal,Very happy,Not applicable,Yes,White,Female,High school,29,Never married,40,Not applicable
Retired,Not str democrat,Moderate,Pretty happy,Not applicable,Yes,White,Female,High school,84,Widowed,Not applicable,Obama
Keeping house,"Ind,near dem",Moderate,Pretty happy,$20000 - 24999,Yes,White,Female,High school,39,Married,Not applicable,Not applicable
Retired,Not str republican,Moderate,Very happy,Not applicable,Yes,White,Female,High school,76,Widowed,Not applicable,Romney
Retired,Strong democrat,Moderate,Not too happy,Not applicable,Yes,White,Female,Graduate,69,Widowed,Not applicable,Obama
Working fulltime,Not str democrat,Moderate,Pretty happy,$10000 - 14999,Yes,Other,Male,High school,43,Never married,40,Not applicable
Retired,Strong democrat,Extremely liberal,Pretty happy,Refused,Yes,Black,Female,Junior college,89 or older,Married,Not applicable,Obama
Working fulltime,Strong democrat,Moderate,Pretty happy,$20000 - 24999,Yes,White,Male,High school,67,Divorced,40,Obama
Keeping house,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Male,High school,59,Divorced,Not applicable,Obama
Keeping house,Other party,Moderate,Pretty happy,Not applicable,Yes,Black,Male,Junior college,64,Separated,Not applicable,Obama
Keeping house,Not str republican,Moderate,Very happy,Not applicable,No,Other,Female,Lt high school,23,Separated,Not applicable,Not applicable
Working fulltime,Not str democrat,Extremely liberal,Pretty happy,$6000 to 6999,Yes,White,Male,High school,32,Separated,37,Not applicable
Keeping house,Strong democrat,Moderate,Pretty happy,$1000 to 2999,Yes,Black,Female,High school,46,Never married,Not applicable,Obama
Other,Independent,Slightly liberal,Pretty happy,Not applicable,Yes,White,Male,High school,48,Never married,Not applicable,Not applicable
Working parttime,Independent,Moderate,Pretty happy,$6000 to 6999,Yes,Black,Female,High school,64,Divorced,28,Obama
Working fulltime,Strong democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,Other,Male,High school,46,Married,50,Obama
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,86,Married,Not applicable,Obama
Working parttime,Not str democrat,Slightly liberal,Pretty happy,$20000 - 24999,Yes,Other,Male,High school,18,Never married,15,Not applicable
School,Independent,Moderate,Pretty happy,$3000 to 3999,Yes,White,Female,High school,20,Never married,Not applicable,Not applicable
Retired,Not str democrat,Liberal,Pretty happy,Not applicable,Yes,White,Male,Bachelor,65,Married,Not applicable,Obama
Retired,"Ind,near rep",Conservative,Pretty happy,Not applicable,Yes,White,Male,High school,63,Married,Not applicable,Romney
Retired,Other party,Extrmly conservative,Pretty happy,Not applicable,Yes,White,Male,High school,80,Widowed,Not applicable,Not applicable
Working fulltime,Not str democrat,Slightly liberal,Pretty happy,Not applicable,Yes,Other,Male,High school,21,Never married,40,Not applicable
Temp not working,Independent,No answer,Pretty happy,$25000 or more,Yes,White,Male,High school,40,Divorced,Not applicable,Not applicable
Working fulltime,Independent,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,33,Married,45,Obama
Working fulltime,"Ind,near dem",Moderate,Pretty happy,$10000 - 14999,Yes,Black,Female,High school,22,Never married,43,Not applicable
Other,Other party,Don't know,Not too happy,Not applicable,Yes,White,Female,High school,68,Divorced,Not applicable,Not applicable
Working fulltime,"Ind,near rep",Moderate,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,32,Married,40,Romney
"Unempl, laid off","Ind,near dem",Extrmly conservative,Pretty happy,Refused,Yes,Black,Male,Lt high school,57,Married,Not applicable,Don't know
Keeping house,Strong democrat,Moderate,Not too happy,Not applicable,Yes,Black,Female,Lt high school,55,Widowed,Not applicable,Obama
Working parttime,Not str republican,Moderate,Pretty happy,Not applicable,Yes,Other,Female,High school,21,Never married,34,Not applicable
Working parttime,Strong republican,Extrmly conservative,Not too happy,Not applicable,Yes,White,Male,Lt high school,18,Never married,26,Not applicable
Working fulltime,Not str republican,Extrmly conservative,Not too happy,Not applicable,Yes,Black,Male,High school,39,Never married,60,Not applicable
Working fulltime,"Ind,near rep",Conservative,Very happy,$25000 or more,Yes,White,Male,Junior college,27,Married,40,Not applicable
Working fulltime,Strong democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,Black,Male,High school,29,Married,47,Obama
Retired,Not str republican,Conservative,Pretty happy,Refused,Yes,White,Female,High school,70,Married,Not applicable,Romney
Working fulltime,Strong republican,Extrmly conservative,Very happy,Refused,Yes,White,Female,Bachelor,41,Married,50,Romney
"Unempl, laid off",Not str republican,Slghtly conservative,Very happy,$25000 or more,Yes,White,Male,High school,40,Divorced,Not applicable,Romney
Working parttime,"Ind,near rep",Extrmly conservative,Pretty happy,Not applicable,Yes,White,Female,High school,20,Never married,30,Not applicable
Working parttime,Strong democrat,Slightly liberal,Pretty happy,$6000 to 6999,Yes,Black,Male,Junior college,27,Never married,30,Obama
Working fulltime,"Ind,near rep",Extrmly conservative,Very happy,$1000 to 2999,Yes,Black,Female,High school,53,Divorced,32,Obama
Working parttime,Strong republican,Slghtly conservative,Pretty happy,$8000 to 9999,Yes,Black,Female,High school,49,Married,20,Not applicable
Retired,"Ind,near dem",Conservative,Pretty happy,$3000 to 3999,Yes,Black,Male,High school,62,Divorced,Not applicable,Obama
Other,Strong democrat,Moderate,Pretty happy,Not applicable,Yes,Black,Male,High school,49,Divorced,Not applicable,Obama
Working fulltime,Strong democrat,Slightly liberal,Pretty happy,$25000 or more,Yes,Black,Male,High school,48,Never married,48,Not applicable
Keeping house,"Ind,near dem",Moderate,Not too happy,Not applicable,Yes,White,Female,High school,23,Separated,Not applicable,Not applicable
"Unempl, laid off",Strong republican,Conservative,Pretty happy,Not applicable,Yes,Black,Male,High school,61,Divorced,Not applicable,Romney
Retired,Strong democrat,Extrmly conservative,Not too happy,Not applicable,Yes,Other,Female,High school,77,Widowed,Not applicable,Obama
Working fulltime,Strong democrat,Extremely liberal,Very happy,$10000 - 14999,Yes,Black,Female,Lt high school,44,Never married,30,Obama
Retired,Not str democrat,Slghtly conservative,Very happy,Not applicable,Yes,Black,Female,Lt high school,70,Widowed,Not applicable,Obama
Keeping house,Not str democrat,Extremely liberal,Pretty happy,Not applicable,Yes,Black,Female,High school,60,Separated,Not applicable,Not applicable
Working parttime,Strong democrat,Extremely liberal,Pretty happy,Don't know,Yes,Black,Female,High school,51,Divorced,12,Obama
Working fulltime,Strong democrat,Moderate,Very happy,$20000 - 24999,Yes,Black,Male,High school,49,Married,40,Obama
Keeping house,Not str democrat,Conservative,Pretty happy,Not applicable,Yes,Black,Female,Bachelor,52,Married,Not applicable,Obama
Keeping house,"Ind,near rep",Slghtly conservative,Pretty happy,Not applicable,Yes,White,Female,Junior college,58,Divorced,Not applicable,Romney
Other,Independent,Moderate,Not too happy,Not applicable,Yes,White,Male,High school,56,Married,Not applicable,Not applicable
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,43,Married,40,Romney
Working fulltime,"Ind,near dem",Conservative,Not too happy,$15000 - 19999,Yes,White,Female,High school,41,Separated,89,Obama
Working fulltime,"Ind,near dem",Moderate,Very happy,$25000 or more,Yes,White,Male,Lt high school,42,Married,70,Not applicable
Retired,Strong democrat,Moderate,Not too happy,Not applicable,Yes,White,Male,High school,65,Widowed,Not applicable,Not applicable
School,Other party,Moderate,Pretty happy,Not applicable,Yes,White,Male,High school,19,Never married,Not applicable,Not applicable
Working fulltime,Independent,Slghtly conservative,Very happy,$25000 or more,Yes,White,Female,Junior college,44,Married,40,Not applicable
Retired,Not str democrat,Slghtly conservative,Not too happy,Not applicable,Yes,White,Female,High school,79,Widowed,Not applicable,Not applicable
Keeping house,No answer,Don't know,Not too happy,Not applicable,Yes,White,Female,Lt high school,46,Married,Not applicable,No answer
Retired,Strong republican,Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,High school,72,Married,Not applicable,Romney
Working fulltime,Not str republican,Conservative,Pretty happy,$20000 - 24999,No,White,Female,High school,56,Married,40,Other candidate (specify)
Keeping house,Strong republican,Conservative,Pretty happy,Not applicable,Yes,White,Female,High school,58,Never married,Not applicable,Not applicable
Working fulltime,Not str republican,Moderate,Pretty happy,$25000 or more,Yes,White,Male,High school,53,Married,48,Romney
Working fulltime,Not str republican,Slightly liberal,Pretty happy,$25000 or more,Yes,Other,Male,Lt high school,33,Married,40,Not applicable
Working fulltime,Not str democrat,Moderate,Pretty happy,$15000 - 19999,Yes,Other,Female,High school,26,Separated,40,Not applicable
Working fulltime,Not str republican,Slghtly conservative,Pretty happy,$25000 or more,Yes,White,Female,High school,56,Divorced,50,Not applicable
Working fulltime,Other party,Conservative,Pretty happy,$4000 to 4999,Yes,White,Male,High school,40,Married,40,Not applicable
Retired,"Ind,near rep",Slghtly conservative,Pretty happy,Not applicable,Yes,White,Male,Bachelor,59,Married,Not applicable,Romney
Working fulltime,Independent,Conservative,Not too happy,$6000 to 6999,Yes,White,Female,Junior college,59,Widowed,38,Romney
Working fulltime,"Ind,near dem",Extrmly conservative,Pretty happy,$20000 - 24999,Yes,Black,Female,Bachelor,52,Separated,46,Obama
Working parttime,Strong democrat,Extrmly conservative,Not too happy,$15000 - 19999,Yes,Black,Male,Lt high school,60,Widowed,30,Obama
"Unempl, laid off",Not str republican,Conservative,Pretty happy,$15000 - 19999,Yes,White,Male,High school,27,Never married,Not applicable,Not applicable
Working fulltime,Not str republican,Conservative,Pretty happy,$25000 or more,Yes,White,Male,Bachelor,70,Married,40,Romney
Keeping house,Not str democrat,Moderate,Not too happy,Not applicable,Yes,Black,Female,Lt high school,38,Never married,Not applicable,Obama
Other,Strong democrat,Extremely liberal,Pretty happy,Not applicable,Yes,Other,Male,Lt high school,57,Never married,Not applicable,Obama
Working parttime,Not str democrat,Slightly liberal,Pretty happy,$5000 to 5999,Yes,White,Female,Lt high school,54,Married,25,Not applicable
Working parttime,Independent,Moderate,Pretty happy,$10000 - 14999,Yes,Black,Female,Lt high school,21,Never married,34,Not applicable
Retired,Strong democrat,Moderate,Pretty happy,Not applicable,No,Other,Male,Lt high school,83,Widowed,Not applicable,Obama
Working fulltime,Independent,Slightly liberal,Pretty happy,$3000 to 3999,Yes,White,Female,Junior college,46,Married,80,Obama
Keeping house,Independent,Don't know,Not too happy,Not applicable,Yes,White,Male,High school,18,Never married,Not applicable,Not applicable
Working fulltime,Other party,Moderate,Very happy,$25000 or more,Yes,Other,Male,High school,24,Never married,70,Not applicable
Working fulltime,Independent,Slghtly conservative,Not too happy,Not applicable,Yes,White,Male,Lt high school,37,Divorced,48,Not applicable
Retired,"Ind,near dem",Moderate,Pretty happy,Not applicable,No,White,Female,High school,47,Married,Not applicable,Not applicable
Working fulltime,Independent,Conservative,Very happy,$15000 - 19999,Yes,Black,Female,High school,24,Never married,38,Not applicable
Working fulltime,Strong democrat,Conservative,Pretty happy,$15000 - 19999,No,White,Male,High school,66,Married,40,Obama
